"RC_ID","ROUTE SIGNING","ROUTE","ROAD NUMBER","ROAD NAME","END MILEPOINT","BEGIN DESCRIPTION","END DESCRIPTION","COUNTY","MUNICIPALITY NAME","MUNICIPALITY TYPE","SEASONAL FACTOR GROUP","FUNCTIONAL CLASS"
"757087","",,"0300","LISBON-MADRID R","","CR 27","MADRID T/L","SAINT LAWRENCE","LISBON","TOWN","40","08"
"756065","",,"0300","LISBON-MADRID R","","MADRID T/L","CR 31","SAINT LAWRENCE","MADRID","TOWN","60","08"
"446040","",,"0300","LOG CABIN RD","","CR 42","BENSON RD","ONTARIO","VICTOR","TOWN","30","19"
"928042","",,"0300","LONG HILL RD","","BEEBE RD","AFTON V/L","CHENANGO","AFTON","TOWN","30","08"
"446039","",,"0300","LOWER EGYPT RD","","TOWN LINE","CR 33","ONTARIO","BRISTOL","TOWN","40","09"
"146033","",,"0300","MADDEN RD","","NY 43","VALLEY VIEW","RENSSELAER","STEPHENTOWN","TOWN","30","09"
"516115","",,"0300","MARTIN RD","","NY 98","CR 71 FARM TO MARKET","CATTARAUGUS","GREAT VALLEY","TOWN","30","09"
"756017","",,"0300","MCCARTHY RD","","SILVER HILL RD","CR 17","SAINT LAWRENCE","RUSSELL","TOWN","40","09"
"262051","",,"0300","MIDDLE STTLMNT","","SR 5","CR21 CLINTON ST","ONEIDA","NEW HARTFORD","TOWN","30","16"
"077094","",,"0300","MIDHAMPTON AVEN","","BOX TREE ROAD","OLD COUNTRY RO","SUFFOLK","QUOGUE","VILLAGE","30","19"
"977253","",,"0300","MILL ST HAMLET","","SR 38","SR 38","TIOGA","RICHFORD","TOWN","30","09"
"956028","",,"0300","MILL VALLEY RD","","MIDDLEBURGH/FULTON TL (W)","MIDDLEBURGH/FULTON TL (E)","SCHOHARIE","FULTON","TOWN","30","09"
"828854","",,"0300","MILLTOWN","","CROSS RD","NY 52","DUTCHESS","EAST FISHKILL","TOWN","30","19"
"828839","",,"0300","MILLTOWN","","WHITE POND RD","CROSS RD","DUTCHESS","EAST FISHKILL","TOWN","30","19"
"666201","",,"0300","MOON HILL","","CR 11","PRE-EMPTION","YATES","BARRINGTON","TOWN","40","09"
"262052","",,"0300","MORGAN RD","","RAY RD (W)","GLASS FACTORY","ONEIDA","MARCY","TOWN","30","09"
"426068","",,"0300","MORRIS RD","","SPARTA SPRINGWATER T","NY 15","LIVINGSTON","SPRINGWATER","TOWN","40","09"
"126037","",,"0300","MORSE MEM HWY","","MINERVA STREAM","NY 28N","ESSEX","MINERVA","TOWN","30","07"
"126074","",,"0300","MORSE MEML HWY","","CR 29","MINERVA STREAM","ESSEX","MINERVA","TOWN","30","07"
"326049","",,"0300","MUCKEY ROAD","","RT 392","T/L","CORTLAND","VIRGIL","TOWN","40","09"
"416097","",,"0300","N PEMBROKE RD","","INDIAN FLLS RD","N PEMBROKE T/L","GENESEE","PEMBROKE","TOWN","30","08"
"936155","",,"0300","NORTH RD","","CR33","NY23","DELAWARE","KORTRIGHT","TOWN","40","09"
"878481","",,"0300","NORTH ST / NY12","","S WESTCHESTER AVE","NORTH ST","WESTCHESTER","WHITE PLAINS","CITY","30","14"
"462003","",,"0300","OATKA RD","","CR 3","NY 246","WYOMING","PERRY","TOWN","30","07"
"258097","",,"0300","OLD TRAIL RD","","RT 30A","SWITZER HILL RD","MONTGOMERY","MOHAWK","TOWN","30","09"
"258096","",,"0300","OLD TRAIL RD","","SR 334","RT 30A","MONTGOMERY","MOHAWK","TOWN","30","09"
"256074","",,"0300","OLD TRAIL RD","","SWITZER HILL RD","MOHAWK DR","MONTGOMERY","MOHAWK","TOWN","40","09"
"826148","",,"0300","ON THE GREEN","","009","090","DUTCHESS","UNION VALE","TOWN","30","09"
"616111","",,"0300","ORCHARD","","E CENTERVILLE","CR 23","ALLEGANY","RUSHFORD","TOWN","40","09"
"031594","",,"0300","ORCHARD BEACH B","","WEST DRIVE","ORCHARD BEACH","NASSAU","MANORHAVEN","VILLAGE","30","17"
"526020","",,"0300","ORR ST EXT","","CR 328","GARFIELD RD","CHAUTAUQUA","BUSTI","TOWN","30","09"
"736070","",,"0300","OTTER STREET","","ALEX BAY VL CORP LN","CHURCH STREET","JEFFERSON","ALEXANDRIA BAY","VILLAGE","40","09"
"922110","",,"0300","OWLVILLE RD","","NYS 206","OXFORD T/L","CHENANGO","COVENTRY","TOWN","30","09"
"176012","",,"0300","PADANARUM RD","","TROUT FALLS RD","SR 9N","WARREN","BOLTON","TOWN","30","09"
"266023","",,"0300","PALMER RD","","COAL HILL RD","BOYD RD","ONEIDA","ANNSVILLE","TOWN","40","09"
"136070","",,"0300","PECK RD-10","","CR 56","WEST & NORTH","GREENE","WINDHAM","TOWN","30","09"
"938047","",,"0300","PECK ST","","GAFFEY RD","SCHOHAIRIE CL","DELAWARE","HARPERSFIELD","TOWN","30","08"
"938046","",,"0300","PECK ST","","SR 23","GAFFEY RD","DELAWARE","HARPERSFIELD","TOWN","30","08"
"667238","",,"0300","PERRY POINT","","SR 14","END","YATES","TORREY","TOWN","40","09"
"246034","",,"0300","PETERBORO ST","","SR 46","PARK ST","MADISON","MUNNSVILLE","VILLAGE","40","08"
"718083","",,"0300","PICKETTS CORS","","SR 3","DANNEMORA S V/","CLINTON","SARANAC","TOWN","30","07"
"932132","",,"0300","PINE HILL RD 1","","NY 8","HOUCK RD","DELAWARE","MASONVILLE","TOWN","30","09"
"756169","",,"0300","POOLER RD","","OREBED RD","CR 17","SAINT LAWRENCE","DEKALB","TOWN","40","09"
"516056","",,"0300","POPE RD","","HARRIS RD","ELM CREEK RD","CATTARAUGUS","CONEWANGO","TOWN","30","09"
"517084","",,"0300","PROMISED LAND R","","NY 417","DEAD END","CATTARAUGUS","PORTVILLE","TOWN","30","09"
"646770","",,"0300","RESERVOIR HILL","","PULTENEY TNLN","VILLAGE LINE","STEUBEN","URBANA","TOWN","40","09"
"516172","",,"0300","REYNOLDS RD","","NY 16","FARMERSVILLE TL","CATTARAUGUS","MACHIAS","TOWN","30","09"
"667218","",,"0300","RICE HILL","","SOUTH ST","CR1 LAKEMONT HIMROD RD","YATES","MILO","TOWN","40","09"
"266151","",,"0300","RIVER RD","","EMPEY AVE","VILLAGE LINE","ONEIDA","CAMDEN","VILLAGE","40","09"
"856034","",,"0300","ROCKLAND RD","","PIERMONT AVE","VILL LINE","ROCKLAND","PIERMONT","VILLAGE","30","19"
"256076","",,"0300","ROUND BARN RD","","LANG DR","SR 161","MONTGOMERY","GLEN","TOWN","40","09"
"466080","",,"0300","ROYCE RD","","JAVA LINE","ALMETER RD","WYOMING","SHELDON","TOWN","40","09"
"528022","",,"0300","S DAYTN-SV CR","","NY 322","CR 47/103","CHAUTAUQUA","VILLENOVA","TOWN","30","07"
"188079","",,"0300","SALEM-W HEBRON","","JOE BEAN RD","CHAMBERLIN MILLS RD","WASHINGTON","SALEM","TOWN","30","08"
"188078","",,"0300","SALEM-W HEBRON","","CEMETERY RD","JOE BEAN RD","WASHINGTON","SALEM","TOWN","30","08"
"638048","",,"0300","SALT POINT","","W GLEN VILL","AKZO SALT CO","SCHUYLER","READING","TOWN","40","09"
"178022","",,"0300","SCHROON RIVER R","","US RT 9/STATE RT 8","STARBUCKVLLE B","WARREN","CHESTER","TOWN","30","08"
"178021","",,"0300","SCHROON RIVER R","","TOWN LINE","US RT 9/STATE RT 8","WARREN","CHESTER","TOWN","30","08"
"668076","",,"0300","SECOND MILO","","SR 54","BATH RD","YATES","MILO","TOWN","40","08"
"668075","",,"0300","SECOND MILO","","BATH RD","SR 14A","YATES","MILO","TOWN","40","08"
"668074","",,"0300","SECOND MILO","","SR 14A","CHUBB HOLLOW","YATES","MILO","TOWN","40","08"
"842033","",,"0300","SECOR RD","","CARMEL TL","SR 6N","PUTNAM","CARMEL","TOWN","30","16"
"846011","",,"0300","SECOR RD","","TACONIC SP","WOOD ST","PUTNAM","PUTNAM VALLEY","TOWN","30","16"
"952127","",,"0300","SETTLES MTN RD","","TOWN LINE","SR 145","SCHOHARIE","COBLESKILL","TOWN","30","19"
"126039","",,"0300","SHEVLIN RD","","BURNS RD","END","ESSEX","MINERVA","TOWN","30","09"
"266086","",,"0300","SIMMONS RD","","CR 12","NY 26","ONEIDA","VERNON","TOWN","40","09"
"422222","",,"0300","SKELLY RD","","CIDER ST","CALLAN RD","LIVINGSTON","CALEDONIA","TOWN","30","09"
"416023","",,"0300","SLUSSER RD","","NY 5","KILLIAN RD","GENESEE","PEMBROKE","TOWN","30","09"
"416021","",,"0300","SLUSSER RD","","KILLIAN RD","BECKWITH RD","GENESEE","PEMBROKE","TOWN","30","09"
"926018","",,"0300","SMITH RD","","NYS 235","BEEBE RD","CHENANGO","COVENTRY","TOWN","30","08"
"646746","",,"0300","SOUTH HILL","","SR 333","KNOWLES","STEUBEN","THURSTON","TOWN","40","09"
"827016","",,"0300","SOUTH STREET","","EAST MAIN ST","DUTCHER AVE","DUTCHESS","PAWLING","VILLAGE","30","09"
"752108","",,"0300","SULLIVAN RD","","TALCVILLE RD","BANCROFT RD","SAINT LAWRENCE","EDWARDS","TOWN","30","09"
"757068","",,"0300","SULLIVAN RD","","CR22","EDWARDS TL","SAINT LAWRENCE","FOWLER","TOWN","40","09"
"648050","",,"0300","SWALE RD","","CR 21","SWALE RD","STEUBEN","CANISTEO","TOWN","40","09"
"542038","",,"0300","T L RD SOMERSET","","NEWFANE LINE","CHECK TAV RD","NIAGARA","HARTLAND","TOWN","30","07"
"542040","",,"0300","T/L RD SOMERSET","","CHECK TAV RD","HOSMER RD","NIAGARA","HARTLAND","TOWN","30","07"
"618047","",,"0300","TRAPPING BROOK","","ANDOVER T/L","CR 22","ALLEGANY","ANDOVER","TOWN","30","08"
"618046","",,"0300","TRAPPING BROOK","","SR 417","V/L","ALLEGANY","WELLSVILLE","TOWN","30","17"
"616147","",,"0300","TRAPPING BROOK","","V/L","ANDOVER T/L","ALLEGANY","WELLSVILLE","TOWN","30","08"
"952121","",,"0300","TREADLEMIRE RD","","ABARAMS","COTTON HILL","SCHOHARIE","WRIGHT","TOWN","30","09"
"176006","",,"0300","TUCKER RD","","DIRT PORTON","THURMAN T/L","WARREN","STONY CREEK","TOWN","30","09"
"547024","",,"0300","VERNON ST","","RAILROAD","MECHANIC ST","NIAGARA","MIDDLEPORT","VILLAGE","30","09"
"168112","",,"0300","VLEY RD","","SR 5","VILLAGE LINE","SCHENECTADY","GLENVILLE","TOWN","40","17"
"218400","",,"0300","VOORHEES RD","","NY 30","MIDLINE RD","FULTON","PERTH","TOWN","30","09"
"911299","",,"0300","W ARTERIAL HWY","","CHENANGO ST","N VILLAGE LINE","BROOME","PORT DICKINSON","VILLAGE","30","17"
"416046","",,"0300","W BETHANY RD","","BETHANY TL","CR1 BROOKVILLE RD","GENESEE","ALEXANDER","TOWN","30","09"
"188077","",,"0300","W BROADWAY","","SR 22","CEMETERY RD","WASHINGTON","SALEM","VILLAGE","30","08"
"188082","",,"0300","W HEB-BELCHER","","COUNTY ROUTE 47","HALLS POND RD","WASHINGTON","HEBRON","TOWN","30","08"
"188081","",,"0300","W HEB-BELCHER","","CR 31","COUNTY ROUTE 47","WASHINGTON","HEBRON","TOWN","30","08"
"858078","",,"0300","W WASHINGTON AV","","NEW RT 304","OLD S HIGHLAND","ROCKLAND","ORANGETOWN","TOWN","30","17"
"856067","",,"0300","W WASHINGTON AV","","OLD S HIGHLAND","NY/NJ LINE","ROCKLAND","ORANGETOWN","TOWN","30","17"
"756164","",,"0300","WAYNE HUNTER RD","","HALFWAY HSE RD","DEAD END","SAINT LAWRENCE","WADDINGTON","TOWN","40","09"
"736055","",,"0300","WEBB RD","","GARDEN OF EDEN (NORTH)","US 11","JEFFERSON","PHILADELPHIA","TOWN","40","09"
"736104","",,"0300","WEBB RD","","CR 29","CHILD RD","JEFFERSON","PHILADELPHIA","TOWN","40","09"
"738098","",,"0300","WEBB RD","","CHILD RD","GARDEN OF EDEN (NORTH)","JEFFERSON","PHILADELPHIA","TOWN","60","09"
"516210","",,"0300","WEEDEN ST","","NY394 MAIN ST","RANDOLPH VL","CATTARAUGUS","RANDOLPH","VILLAGE","30","09"
"467024","",,"0300","WELCH RD","","NY77","CR 9 PERRY RD","WYOMING","JAVA","TOWN","40","09"
"326020","",,"0300","WEST CHENINGO R","","CR 114","CR 600A","CORTLAND","TRUXTON","TOWN","40","09"
"188080","",,"0300","WEST HEBRON","","CHAMBERLIN MILLS RD","CR 31","WASHINGTON","HEBRON","TOWN","30","08"
"612100","",,"0300","WEST HILL","","BOTTSFORD HLLW","PEAVY","ALLEGANY","ALLEN","TOWN","30","09"
"246117","",,"0300","WHALEN HILL RD","","CR 83 LK MORAINE RD","W HILL RD","MADISON","MADISON","TOWN","40","09"
"442039","",,"0300","WHITE SPRING RD","","SNELL RD","SR5&20","ONTARIO","GENEVA","TOWN","30","17"
"467036","",,"0300","WILDER RD","","TRUESDELL RD","NY19","WYOMING","WARSAW","TOWN","30","09"
"248152","",,"0300","WILLIAMS RD","","STOCKBRIDGE TL","MUNNSVILLE VL","MADISON","STOCKBRIDGE","TOWN","30","08"
"248151","",,"0300","WILLIAMS RD","","PETERBORO RD","STOCKBRIDGE TL","MADISON","SMITHFIELD","TOWN","30","08"
"054029","",,"0301","11TH PL","","50TH AVE","49TH AVE","QUEENS","NEW YORK","CITY","30","17"
"052126","",,"0305","11TH ST","","JACKSON AVE","40TH AVE","QUEENS","NEW YORK","CITY","30","16"
"051105","",,"0305","11TH ST","","BROOKLYN C/L","IN 495","QUEENS","NEW YORK","CITY","30","14"
"051106","",,"0305","11TH ST","","IN 495","JACKSON AVE","QUEENS","NEW YORK","CITY","30","14"
"054030","",,"0305","11TH ST","","34TH AVE","BROADWAY","QUEENS","NEW YORK","CITY","30","17"
"014014","",,"0305","BARNES AVE","","E 236TH ST","PITMAN AVE","BRONX","NEW YORK","CITY","30","16"
"012203","",,"0305","BARNES AVE","","PELHAM PKWY S","E 236TH ST","BRONX","NEW YORK","CITY","30","19"
"871146","",,"0305","BYPASS ROAD","","HARRIS RD","SAW MILL PKWYB","WESTCHESTER","BEDFORD","TOWN","30","14"
"757021","",,"0305","LINCOLN RD","","US 11","OLD DEKALB RD","SAINT LAWRENCE","CANTON","TOWN","40","09"
"266077","",,"0305","OLD POLAND RD","","BARNEVELD VL","NY 12/28","ONEIDA","TRENTON","TOWN","40","09"
"266228","",,"0305","OLD POLAND RD","","NY 12/28","NY 28","ONEIDA","TRENTON","TOWN","40","09"
"816058","",,"0305","PINE PLAINS SLV","","CR7","PINE PLAINS TL","COLUMBIA","GALLATIN","TOWN","30","09"
"976178","",,"0305","S HILL RD","","CR 37","N KETCHUMVILLE","TIOGA","BERKSHIRE","TOWN","40","09"
"536143","",,"0307","FORESTREAM DR","","TRANSIT RD","ENCHANTED FRST","ERIE","LANCASTER","TOWN","30","19"
"756135","",,"0307","LITTLE RIVER RD","","CR 25","CR 27","SAINT LAWRENCE","CANTON","TOWN","40","09"
"054036","",,"0309","120TH AVE","","FRANCIS LEWIS BLVD","238TH ST","QUEENS","NEW YORK","CITY","30","17"
"054033","",,"0309","120TH AVE","","STUPHIN BLVD","155TH ST/LAKEVIEW BL","QUEENS","NEW YORK","CITY","30","17"
"054032","",,"0309","120TH AVE","","IN678 SR S","STUPHIN BLVD","QUEENS","NEW YORK","CITY","30","17"
"052050","",,"0309","120TH AVE","","BAISLEY BLVD","SPRINGFIELD BL","QUEENS","NEW YORK","CITY","30","16"
"054031","",,"0309","120TH AVE","","ROCKAWAY BLVD","IN678 SR S","QUEENS","NEW YORK","CITY","30","17"
"054035","",,"0309","120TH AVE","","SPRINGFIELD BL","FRANCIS LEWIS BLVD","QUEENS","NEW YORK","CITY","30","17"
"054034","",,"0309","120TH AVE","","155TH ST/LAKEVIEW BL","GUY R BREWER BLVD","QUEENS","NEW YORK","CITY","30","17"
"066005","",,"0309","ANNADALE RD","","ARDEN AVE","ARTHUR KILL RD","RICHMOND","NEW YORK","CITY","30","16"
"066305","",,"0309","ANNADALE RD","","AMBOY RD","ARDEN AVE","RICHMOND","NEW YORK","CITY","30","16"
"428058","",,"030A","MAIN ST","","CR 72","CR 0430","LIVINGSTON","MOUNT MORRIS","TOWN","30","08"
"428057","",,"030A","MAIN ST","","CR 0030","CR 72","LIVINGSTON","MOUNT MORRIS","TOWN","30","08"
"458000","",,"030A","RICHS CORNER RD","","SR 31A","E CO HSE RD","ORLEANS","ALBION","TOWN","30","07"
"518019","",,"030S","CHIPMUNK RD","","AIR","AIR","CATTARAUGUS","CARROLLTON","TOWN","30","08"
"024022","",,"0310","36TH ST","","7TH AVE","14TH AVE","KINGS","NEW YORK","CITY","30","17"
"024021","",,"0310","36TH ST","","5TH AVE","7TH AVE","KINGS","NEW YORK","CITY","30","16"
"927032","",,"0310","ANTHONY RD","","CR 32","DEAD END","CHENANGO","OXFORD","TOWN","30","09"
"332003","",,"0310","BALDWINSVILLE","","BRICKYARD RD","CONNORS RD","ONONDAGA","VAN BUREN","TOWN","30","17"
"336021","",,"0310","BALDWINSVILLE","","CONNORS RD","VILL LN","ONONDAGA","VAN BUREN","TOWN","30","17"
"336301","",,"0310","BALDWINSVILLE","","TOWN LINE","BRICKYARD RD","ONONDAGA","VAN BUREN","TOWN","30","08"
"011102","",,"0310","BARRETTO ST","","GARRISON AVE","BRUCKNER EXPY","BRONX","NEW YORK","CITY","30","19"
"956070","",,"0310","BEAR LADDER RD","","SR 30","FULTON TN LN","SCHOHARIE","BLENHEIM","TOWN","30","09"
"958048","",,"0310","BEAR LADDER RD","","FULTON TN LN","CR 4","SCHOHARIE","FULTON","TOWN","30","09"
"911264","",,"0310","BEETHOVEN ST","","RIVERSIDE DR","HIGHLAND AVE","BROOME","BINGHAMTON","CITY","30","17"
"911223","",,"0310","BEETHOVEN ST","","HIGHLAND AVE","MAIN ST","BROOME","BINGHAMTON","CITY","30","17"
"638024","",,"0310","BELLE P CORNELL","","M FALLS V/L","SR 414","SCHUYLER","DIX","TOWN","40","09"
"831305","",,"0310","BERT CRAWFORD","","MALTESE DR","SILVRLK/SCOTCH","ORANGE","WALLKILL","TOWN","30","16"
"537033","",,"0310","BIG TREE RD","","BAYVIEW RD","US 62 SOUTH PARK AVE","ERIE","HAMBURG","TOWN","30","16"
"826123","",,"0310","BROWN ROAD","","CO RD 94","WAPP / E FISHKILL T/L","DUTCHESS","WAPPINGER","TOWN","30","19"
"828261","",,"0310","CEDAR AVE","","MILLER RD","CITY LIMITS","DUTCHESS","POUGHKEEPSIE","CITY","30","17"
"828564","",,"0310","CEDAR AVE","","GREENHOUSE LN","MILLER RD","DUTCHESS","POUGHKEEPSIE","CITY","30","17"
"828565","",,"0310","CEDAR AVE","","HOOKER AVE","GREENHOUSE LN","DUTCHESS","POUGHKEEPSIE","CITY","30","17"
"536082","",,"0310","CLARK ST","","CENTRAL AVE","SCHOOL ST","ERIE","LANCASTER","VILLAGE","30","19"
"174955","",,"0310","COOLIDGE AVE","","ROOSEVELT BLVD","CITY LINE","WARREN","GLENS FALLS","CITY","30","17"
"948134","",,"0310","CR 31","","VAN YAHRES RD","T L SPRINGFLD","OTSEGO","MIDDLEFIELD","TOWN","60","07"
"948136","",,"0310","CR 31","","KABOSUS RD","DEAN RUTHBN RD","OTSEGO","SPRINGFIELD","TOWN","60","07"
"948139","",,"0310","CR 31","","CR 30","SWAMP RD","OTSEGO","SPRINGFIELD","TOWN","40","08"
"948140","",,"0310","CR 31","","SWAMP RD","SALT SPRINGVIL","OTSEGO","SPRINGFIELD","TOWN","40","08"
"948137","",,"0310","CR 31","","DEAN RUTHBN RD","US 20","OTSEGO","SPRINGFIELD","TOWN","60","07"
"948135","",,"0310","CR 31","","T L SPRINGFLD","KABOSUS RD","OTSEGO","SPRINGFIELD","TOWN","60","07"
"948138","",,"0310","CR 31","","US 20","CR 30","OTSEGO","SPRINGFIELD","TOWN","40","08"
"948141","",,"0310","CR 31","","SALT SPRINGVIL","MONTGOMERY C L","OTSEGO","CHERRY VALLEY","TOWN","40","08"
"928044","",,"0310","CR 31","","NEW BERLIN T/L","HUMPHREY RD","CHENANGO","NEW BERLIN","TOWN","30","09"
"946118","",,"0310","CR 31","","V L COOPERSTWN","VAN YAHRES RD","OTSEGO","MIDDLEFIELD","TOWN","60","07"
"928043","",,"0310","CR 31","","NYS 23","NEW BERLIN T/L","CHENANGO","NORTH NORWICH","TOWN","30","09"
"078110","",,"0310","CR 31","","SR 27 WB RAMP","CR 104","SUFFOLK","SOUTHAMPTON","TOWN","30","14"
"076002","",,"0310","CR 31","","STEWART AVE","SR 27 WB RAMP","SUFFOLK","SOUTHAMPTON","TOWN","30","14"
"077091","",,"0310","CR 31","","CR 80","STEWART AVE","SUFFOLK","SOUTHAMPTON","TOWN","30","14"
"824529","",,"0310","CRESCENT DR","","RENDE DR","PHILLIPS ST","DUTCHESS","BEACON","CITY","30","19"
"966189","",,"0310","DAVIS LANE","","DEAD END","SR 55","SULLIVAN","NEVERSINK","TOWN","30","09"
"852200","",,"0310","DAWN LA","","HEATHER DR","BLOSSOM RD","ROCKLAND","AIRMONT","VILLAGE","30","19"
"342212","",,"0310","DUER ST","","E MOHAWK ST","RESEVOIR","OSWEGO","OSWEGO","CITY","30","19"
"661200","",,"0310","E BLUFF DR","","LAKE AVE","CR 25","YATES","JERUSALEM","TOWN","30","17"
"472000","",,"0310","E MAPLE AVE","","S MAIN ST","VIENNA ST","WAYNE","NEWARK","VILLAGE","30","16"
"456056","",,"0310","EAGLE HARBOR RD","","KNOWLESVILLE RD","SR104","ORLEANS","GAINES","TOWN","40","08"
"972113","",,"0310","EDGECOMB HILL","","DEAN CK RD","RIDGE RD","TIOGA","BARTON","TOWN","30","08"
"936024","",,"0310","EDWARDS ROAD","","DEAD END","COLES CLOVE RD","DELAWARE","COLCHESTER","TOWN","40","09"
"216007","",,"0310","ELECTRIC LIGHT","","SR 334","DEAD END","FULTON","JOHNSTOWN","TOWN","40","09"
"871337","",,"0310","ELM RD","","S STATE RD","PINE RD","WESTCHESTER","BRIARCLIFF MANOR","VILLAGE","30","17"
"342018","",,"0310","EMERY STREET","","SEVENTH ST","TWELFTH ST","OSWEGO","FULTON","CITY","30","17"
"467013","",,"0310","EXCHANGE ST RD","","ATTICA VL","NY238 MAIN ST","WYOMING","ATTICA","VILLAGE","30","17"
"466069","",,"0310","EXCHANGE ST RD","","NY20A","NESBITT","WYOMING","ORANGEVILLE","TOWN","40","08"
"466034","",,"0310","EXCHANGE ST RD","","ORANGEVILLE TL","ATTICA VL","WYOMING","ATTICA","TOWN","40","08"
"612003","",,"0310","FARNUM ST","","RAILROAD AVE","OCONNOR ST","ALLEGANY","WELLSVILLE","VILLAGE","30","17"
"368114","",,"0310","FARRELL RD","","WARREN RD","DRYDEN T/L","TOMPKINS","LANSING","TOWN","30","17"
"866066","",,"0310","FAWN HILL RD","","WOODLAND VAL R","CUL DE SAC","ULSTER","SHANDAKEN","TOWN","30","09"
"184906","",,"0310","FERRY ST","","MULBOURNE AVE","RIVER ST","WASHINGTON","HUDSON FALLS","VILLAGE","30","17"
"231235","",,"0310","FIRST ST","","OTSEGO ST","WEST ST","HERKIMER","ILION","VILLAGE","30","17"
"158168","",,"0310","FORTSVILLE RD","","HATCHERY RD","RT9","SARATOGA","MOREAU","TOWN","30","09"
"158170","",,"0310","FORTSVILLE RD","","CR 32","HATCHERY RD","SARATOGA","MOREAU","TOWN","30","09"
"266090","",,"0310","FOSTER ST","","CHURCH ST","FOSTER CORNERS","ONEIDA","VERONA","TOWN","40","09"
"668077","",,"0310","FRIEND RD","","GUYANOGA RD","FRIEND HILL RD","YATES","JERUSALEM","TOWN","40","08"
"668080","",,"0310","FRIEND RD","","CR 18","SR 364","YATES","POTTER","TOWN","40","08"
"668079","",,"0310","FRIEND RD","","POTTER TL","CR 18","YATES","POTTER","TOWN","40","08"
"668078","",,"0310","FRIEND RD","","FRIEND HILL RD","POTTER TL","YATES","JERUSALEM","TOWN","40","08"
"971209","",,"0310","FRONT ST","","ACADEMY ST","PARK ST","TIOGA","OWEGO","VILLAGE","30","17"
"547050","",,"0310","FULLER RD","","PHILLIPS RD","JOCKEY RD","NIAGARA","NEWFANE","TOWN","30","09"
"071620","",,"0310","FURTHER LANE","","DUNEMERE LANE","VILLAGE LINE","SUFFOLK","EAST HAMPTON","VILLAGE","30","17"
"836045","",,"0310","GALLEY HILL RD","","US 209","HORSESHOE RD","ORANGE","DEERPARK","TOWN","30","09"
"031110","",,"0310","GRAND BLVD","","BEECH ST","PARK AVE","NASSAU","LONG BEACH","CITY","30","14"
"034080","",,"0310","GRAND BLVD","","PARK AVE","HUDSON ST","NASSAU","LONG BEACH","CITY","30","17"
"828554","",,"0310","HAGGERTY HILL R","","ROUTE 9","CR 84","DUTCHESS","RHINEBECK","TOWN","30","09"
"326097","",,"0310","HAIGHTS GULF RO","","NYS 13","T/L","CORTLAND","HOMER","TOWN","40","09"
"716111","",,"0310","HARDSCRABBLE","","SR 3","SOPER RD","CLINTON","SARANAC","TOWN","40","08"
"718085","",,"0310","HARDSCRABBLE","","PORKY RYAN RD","CR 31 SPUR","CLINTON","SCHUYLER FALLS","TOWN","30","08"
"718084","",,"0310","HARDSCRABBLE","","SOPER RD","PORKY RYAN RD","CLINTON","SARANAC","TOWN","30","08"
"158469","",,"0310","HEARN RD","","SR 9","CR 63","SARATOGA","MALTA","TOWN","30","19"
"136100","",,"0310","HEARTS CONTNT","","CR 39","CR 20","GREENE","CAIRO","TOWN","30","08"
"136099","",,"0310","HEARTS CONTNT","","CATSKILL T/L","CR 39","GREENE","CAIRO","TOWN","30","09"
"168113","",,"0310","HETCHELTOWN RD","","SR 914V","SR 50","SCHENECTADY","GLENVILLE","TOWN","40","16"
"936115","",,"0310","HOAG CROSSROAD","","NY10","CR18","DELAWARE","DELHI","TOWN","40","09"
"347020","",,"0310","HOAG RD","","CR 57","DEAD END","OSWEGO","SCHROEPPEL","TOWN","30","09"
"831241","",,"0310","HOLLIS ST","","PARK AVE","RUTLEDGE AVE","ORANGE","WOODBURY","TOWN","30","17"
"186055","",,"0310","JOE BEAN RD","","GRW/SAL TL","CR 30","WASHINGTON","SALEM","TOWN","30","09"
"728016","",,"0310","JONES POND RD","","SR 96","CR 30","FRANKLIN","BRIGHTON","TOWN","30","08"
"751203","",,"0310","JUDSON ST","","COURT ST","PLEASANT ST","SAINT LAWRENCE","CANTON","VILLAGE","30","17"
"868002","",,"0310","KINGS HIGHWAY","","WEST CAMP RD","GREENE CTY","ULSTER","SAUGERTIES","TOWN","30","17"
"868004","",,"0310","KINGS HIGHWAY","","NY32","WEST CAMP RD","ULSTER","SAUGERTIES","TOWN","30","17"
"546021","",,"0310","KLEMER RD","","US 62","DELMER RD","NIAGARA","WHEATFIELD","TOWN","30","19"
"752104","",,"0310","LEARY RD","","CR35","ANDERSON RD","SAINT LAWRENCE","POTSDAM","TOWN","30","09"
"266035","",,"0310","LEWIS RD","","SR 94","MILLER RD","ONEIDA","BOONVILLE","TOWN","30","09"
"616263","",,"0310","LITTLE JOHN","","SR 305","CR 17","ALLEGANY","BELFAST","TOWN","40","09"
"181007","",,"0310","LOWER ALLEN ST","","PARK AVE","FTE/KNG TL","WASHINGTON","FORT EDWARD","TOWN","30","17"
"956013","",,"0310","MAC ARTHUR AVE","","W MAIN ST","EAST ST","SCHOHARIE","COBLESKILL","VILLAGE","30","19"
"756064","",,"0310","MADRID-CHIPMAN","","CR 33","CR 30","SAINT LAWRENCE","MADRID","TOWN","30","08"
"756128","",,"0310","MADRID-CHIPMAN","","CR 28","WADDINGTON T/L","SAINT LAWRENCE","LISBON","TOWN","40","08"
